route_id,route_name,district,bus_id,bus_cost_inr,salvage_value_inr,useful_life_years,route_length_km,operating_days_per_year,trips_per_day,avg_occupancy_seats,total_seats,ticket_price_inr,fuel_cost_per_km_inr,driver_salary_per_month_inr,conductor_salary_per_month_inr,maintenance_per_month_inr,misc_cost_per_month_inr
R001,Dharashiv - Tuljapur Temple Circuit,Dharashiv,BUS001,2769534,700000,15,215,180,2,28,17,1450,90,18000,14000,8000,3000
R002,Dharashiv - Osmanabad - Naldurg Fort Circuit,Dharashiv,BUS002,2769534,700000,15,216,180,2,24,17,1450,90,18000,14000,8000,3000
